Reference,Country,Site,Longitude (degrees),Latitude (degrees),Elevation (m),Land use type,Hydrology type,Vector Species,Method,Start Year,Start Month,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
Shililu et al. (2003),Eritrea,Gash_Barka_Hiletsidi,36.39091,15.0705,610,R,N,AA,EIR from SPRAYand monthly sporozoites,1999,10,4.827586207,0.344827586,0,0,0.114942529,1.149425287,0,0.91954023,0,5.287356322,21.37931034,43.10344828
Shililu et al. (2003),Eritrea,Hagaz,38.16784,15.41725,883,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,1,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.3,0.00025,0.00025,0.00025
Shililu et al. (2003),Eritrea,Hiletsidi,36.39091,15.0705,586,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,1,0.065416667,0.065416667,1.4,0.065416667,0.9,0.065416667,5.7,21.9,43.6,5,0.065416667,0.065416667
Shililu et al. (2003),Eritrea,Maiaini,39.05765,14.4851,1554,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,1,0.006583333,0.006583333,0.006583333,0.006583333,0.006583333,0.006583333,5.2,1.4,1.3,0.006583333,0.006583333,0.006583333
Jaleta et al. (2013),Ethiopia,Baka-Boro,36.52058,8.57715,1316,R,I,AG,EIR,2010,2,0,0,0.101,0,0,0,0.141,0.259,0.128,0.109,0,0
Massebo and Lindtjørn (2013),Ethiopia,Chano,37.58,6.1,1211,R,N,AA,EIR,2009,5,0,2.6,0,0,0,2.58,2.4,0,0,0,2.5,9.7
Animut et al. (2013),Ethiopia,Dirama,38.25142,8.10061,2031,PU,PWB,AA,EIR,2008,7,0,0,0,0,0,0,0,0,0,0,0,0
Animut et al. (2013),Ethiopia,Dirama,38.25142,8.10061,2031,PU,PWB,AA,EIR,2009,7,2.58,0,0,0,0,0,0,0,0,0,0.2,0
Krafsur (1977),Ethiopia,Gambela_town,34.67,8.25,551,R,PWB,AF,EIR,1967,1,-9,-9,-9,-9,-9,-9,0,0,0,0.04,0.08,0.09
Krafsur (1977),Ethiopia,Gambela_town,34.67,8.25,551,R,PWB,AF,EIR,1968,1,0.12,0.06,0,0.01,0.01,0.003,0.004,0.02,0.29,0.38,1.41,0.9
Krafsur (1977),Ethiopia,Gambela_town,34.67,8.25,551,R,PWB,AG,EIR,1967,1,-9,-9,-9,-9,-9,-9,0.19,1.16,3.59,3.17,0.7,0.57
Krafsur (1977),Ethiopia,Gambela_town,34.67,8.25,551,R,PWB,AG,EIR,1968,1,0.16,0.49,0,0,0.15,0.02,0.13,0.2,1.68,1.35,0.89,0.29
Krafsur (1977),Ethiopia,Gambela_villages,34.67,8.25,551,R,PWB,AF,EIR from SPRAYand monthly sporozoites,1967,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.67,0.93
Krafsur (1977),Ethiopia,Gambela_villages,34.67,8.25,551,R,PWB,AF,EIR from SPRAYand monthly sporozoites,1968,1,6.45,1.06,0,0.56,0.4,0.34,1.43,0.41,5.74,10.15,29.08,8.98
Krafsur (1977),Ethiopia,Gambela_villages,34.67,8.25,551,R,PWB,AG,EIR from SPRAYand monthly sporozoites,1967,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.04,0.98
Krafsur (1977),Ethiopia,Gambela_villages,34.67,8.25,551,R,PWB,AG,EIR from SPRAYand monthly sporozoites,1968,1,0.04,0.17,0,0,0.427,0.28,0.56,0.33,3.86,3.11,1.53,0.16
Animut et al. (2013),Ethiopia,Hobe,38.29179,8.01912,1834,PU,PWB,AA,EIR,2008,7,0,6.23,0,4.13,0,0,0,0,3.85,11.56,10.97,0.73
Animut et al. (2013),Ethiopia,Hobe,38.29179,8.01912,1834,PU,PWB,AA,EIR,2009,7,0,0,0.93,0,0,0,0,0,0,0,14.5,0
Animut et al. (2013),Ethiopia,Hobe,38.29179,8.01912,1834,PU,PWB,AP,EIR,2008,7,0,0,0.32,0,0,0,0,0,0,0,0,0
Animut et al. (2013),Ethiopia,Hobe,38.29179,8.01912,1834,PU,PWB,AP,EIR,2009,7,2.3,0,0,0,0,0,0,0,0,0,0,0
Jaleta et al. (2013),Ethiopia,Machara,36.42,8.58,1351,R,N,AG,EIR,2010,2,0,0,0,0,0,0.12,0.155,0.163,0.152,0,0,0
Jaleta et al. (2013),Ethiopia,Wama_Kusaye,36.49,8.59,1319,R,I,AG,EIR,2010,2,0,0.112,0.107,0.216,0.15,0.136,0.383,0.681,1.101,0.266,0.099,0.102
Elissa et al. (2003),Gabon,Benguia,13.515,-1.625,37,R,PWB,AG,EIR,2003,5,9.78,9.42,26.04,15.75,22.92,18.27,42.63,24.6,9.06,5.94,18.96,35.7
Elissa et al. (2003),Gabon,Dienga,12.68,-1.87,772,R,N,AG,EIR,2003,5,0,0,14.4,4.77,0.12,0,0,9.75,54.27,4.77,9.75,0
Badu et al. (2013),Ghana,Abotanso,-0.256,6.088,374,PU,N,AG,EIR,2004,9,5,10.33333333,6.666666667,0,5.166666667,6.222222222,5.470588235,16.2295082,6.78125,5.681818182,5.762820513,5.373333333
Badu et al. (2013),Ghana,Abotanso,-0.256,6.088,374,PU,N,AF,EIR,2004,9,0,5.166666667,7.5,0,0,0,0,0,5.166666667,0,6.888888889,5.166666667
Badu et al. (2013),Ghana,Gyidim,-1.107,6.811,408,R,N,AG,EIR,2003,11,31.25,37.5,12.5,11.66666667,5,0,5.576923077,11.5,18.62068966,22.22222222,11.33333333,29.41176471
Badu et al. (2013),Ghana,Gyidim,-1.107,6.811,408,R,N,AG,EIR,2004,11,5.384615385,5.384615385,0,0,5,10,6.315789474,5.714285714,-9,-9,-9,-9
Badu et al. (2013),Ghana,Hwidiem,-2.355,6.921,186,R,N,AG,EIR,2003,11,0,0,0,0,0,0,5.166666667,0,5.166666667,0,5,10.33333333
Badu et al. (2013),Ghana,Hwidiem,-2.355,6.921,186,R,N,AG,EIR,2004,11,11.81818182,0,0,0,5.683333333,5.294117647,5.489583333,5.833333333,5.636363636,0,-9,-9
Dery et al. (2010),Ghana,Kintampo,-1.73,8.06,354,R,N,AGAF,EIR FROM LIGHT ,2003,11,104.384,13.059,11.598,27.306,12.329,0.274,29.132,1.005,3.927,12.329,13.79,6.119
Dery et al. (2010),Ghana,Kintampo,-1.73,8.06,354,R,N,AGAF,EIR FROM LIGHT ,2004,11,13.79,0,0,4.292,0,0,11.233,1.37,20,11.963,168.676,18.539
Dery et al. (2010),Ghana,Kintampo,-1.73,8.06,354,R,N,AGAF,EIR FROM LIGHT ,2005,11,75.53181156,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Appawu et al. (2004),Ghana,KND_Irrigated,-1.327,10.842,212,R,I,AG,EIR,2001,6,0,25.05,61.83,207.12,60,23.22,3.9,0,0,0,0,0
Appawu et al. (2004),Ghana,KND_Irrigated,-1.327,10.842,212,R,I,AF,EIR,2001,6,36.93,62.76,34.14,48,18.45,36.93,10.14,12.93,5.55,0,0,0
Appawu et al. (2004),Ghana,KND_Lowland,-1.327,10.842,212,R,N,AG,EIR,2001,6,0,12.33,62.46,305.76,22.2,7.41,0,0,0,0,0,0
Appawu et al. (2004),Ghana,KND_Lowland,-1.327,10.842,212,R,N,AF,EIR,2001,6,0,8.04,45.15,29.49,0,0,0,0,0,0,0,0
Appawu et al. (2004),Ghana,KND_Rocky_Highland,-1.327,10.842,212,R,N,AG,EIR,2001,6,0,23.01,51.39,35.04,19.56,4.08,0,0,0,0,0,0
Appawu et al. (2004),Ghana,KND_Rocky_Highland,-1.327,10.842,212,R,N,AF,EIR,2001,6,0,13.38,34.11,22.89,35.82,4.74,0,0,0,0,0,0
Badu et al. (2013),Ghana,LowCost,-1.33,6.38,250,R,N,AG,EIR,2003,11,6.320754717,0,5,5.8,0,5.5,5.769230769,5,5.64516129,5,5,15
Badu et al. (2013),Ghana,LowCost,-1.33,6.38,250,R,N,AG,EIR,2004,11,0,5.833333333,0,5.161290323,0,0,7.857142857,0,0,5.666666667,-9,-9
Kasasa et al. (2013),Ghana,NHDSS,-1.327,10.842,287,R,PWB,AG,EIR,2001,11,21.04623,19.22,6.295914,1.835652,0,0,0,2.14368,17.058184,122.559461,166.27716,147.076865
Kasasa et al. (2013),Ghana,NHDSS,-1.327,10.842,287,R,PWB,AG,EIR,2002,11,32.26176,9.959649,12.037641,0.81368,2.098576,2.5128,3.07396,6.09228,7.715528,13.814933,16.2051,3.910743
Kasasa et al. (2013),Ghana,NHDSS,-1.327,10.842,287,R,PWB,AG,EIR,2003,11,5.41536,3.773072,6.751056,3.905664,1.621548,2.29983,7.96979,5.98464,12.20408,13.120688,28.67712,10.433918
Kasasa et al. (2013),Ghana,NHDSS,-1.327,10.842,287,R,PWB,AF,EIR,2001,11,26.65512,16.080289,8.587496,0.65534,0,0.6384,0.461776,3.9066,26.910201,94.661476,217.26309,119.686071
Kasasa et al. (2013),Ghana,NHDSS,-1.327,10.842,287,R,PWB,AF,EIR,2002,11,17.1063,10.131048,6.120392,0.476672,0.94984,1.2639,0.290191,2.19576,10.025648,12.663872,21.98304,5.54032
Kasasa et al. (2013),Ghana,NHDSS,-1.327,10.842,287,R,PWB,AF,EIR,2003,11,5.98731,3.69365,5.60635,0.762496,1.213526,3.52314,4.973268,10.0341,8.402891,23.428188,24.56181,6.345235
Dossou-Yovo et al. (1995),Ivory_Coast,Alloukoukro,-5.15,7.69,334,R,PWB,AF,EIR from HUMAN BAIT and monthly sporozoites,1991,1,0,0,0,0,2.64,5.13,5.46,11.1,22.86,12.09,5.46,0
Dossou-Yovo et al. (1995),Ivory_Coast,Alloukoukro,-5.15,7.69,334,R,PWB,AF,EIR from HUMAN BAIT and monthly sporozoites,1992,1,0,0,0,0,0,1.65,3.15,5.13,10.95,9.93,3.81,1.65
Dossou-Yovo et al. (1995),Ivory_Coast,Alloukoukro,-5.15,7.69,334,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1991,1,6.84,2.16,11.01,8.01,13.86,17.88,11.04,40.41,30.96,32.4,24.03,2.82
Dossou-Yovo et al. (1995),Ivory_Coast,Alloukoukro,-5.15,7.69,334,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1992,1,3,2.67,0,3.66,9.66,15.51,19.02,29.55,24.54,19.74,10.2,4.68
Briët et al. (2003),Ivory_Coast,Batouapleu,-8.32,6.79,243,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,-9,-9,-9,-9,-9,-9,1.506818182,6.027272727,2.263902439,0,0
Briët et al. (2003),Ivory_Coast,Batouapleu,-8.32,6.79,243,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1999,4,3.87307006,9.833685041,17.11945417,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Batouapleu,-8.32,6.79,243,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,11.38836774,37.57102439,43.11331806,10.60423565,26.20510426,26.46572816,23.31785457,36.2714183,34.49592154,50.54222053,79.96277906
Briët et al. (2003),Ivory_Coast,Batouapleu,-8.32,6.79,243,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,36.32132763,16.81273372,24.52604041,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Beoue,-7.87,6.55,268,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,15.50082102,16.13789568,16.44976076,16.1160287,5.891186293,0.972222219,0,0,0,0,0
Briët et al. (2003),Ivory_Coast,Bepleu,-8.05,7,285,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,6.148500592,17.64854356,72.30408977,80.93725347,8.918148185,20.68489483,28.57727175,27.75175733,17.37781586,7.588103203,2.131250002,0.322916667
Briët et al. (2003),Ivory_Coast,Bietouo,-8.13,6.9,283,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,-9,-9,-9,-9,-9,-9,3.473181818,6.602727273,15.39658537,13.0284,1.974
Briët et al. (2003),Ivory_Coast,Bietouo,-8.13,6.9,283,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1999,4,0,1.633909971,4.556151309,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Bietouo,-8.13,6.9,283,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,23.91184572,36.04401867,39.27823402,25.93536562,31.44297287,27.48580831,22.5478469,29.89726991,10.54343175,0,0
Briët et al. (2003),Ivory_Coast,Bietouo,-8.13,6.9,283,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,2.241359986,6.639459005,12.55245133,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Binguebougou,-5.81,9.53,357,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,-9,-9,0.300187617,1.463414634,10.58879503,20.87400695,19.719804,10.80923062,5.703260945,3.234499575,1.812191894
Dossou-Yovo et al. (1995),Ivory_Coast,Bouake_Dar_es_Salam,-5.01,7.71,325,PU,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1991,1,0,0,0,0,12.99,3.66,3.78,0,8.16,4.14,8.97,0.24
Dossou-Yovo et al. (1995),Ivory_Coast,Bouake_Dar_es_Salam,-5.01,7.71,325,PU,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1992,1,0,0,0,0,23.49,6.96,11.58,0,7.2,2.37,0,1.53
Dossou-Yovo et al. (1995),Ivory_Coast,Bouake_Kennedy,-5.01,7.69,351,PU,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1991,1,0,0,1.41,3.66,39.45,15.84,8.97,3.06,5.19,2.61,0,0
Dossou-Yovo et al. (1995),Ivory_Coast,Bouake_Kennedy,-5.01,7.69,351,PU,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1992,1,0,0,0,2.94,5.43,4.14,9.33,8.85,20.91,16.77,6.6,0
Dossou-Yovo et al. (1995),Ivory_Coast,Bouake_Sokoura,-5.05,7.68,361,PU,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1991,1,0,0,5.79,10.44,22.74,9.84,51.39,17.7,29.76,0,3.69,0
Dossou-Yovo et al. (1995),Ivory_Coast,Bouake_Sokoura,-5.05,7.68,361,PU,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1992,1,0,0,0,5.16,0,14.52,17.58,17.7,20.91,5.28,2.34,0
Dossou-Yovo et al. (1995),Ivory_Coast,Bouake_Tolakouadiokro,-5.04,7.73,331,PU,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1991,1,2.01,0,0,12.99,12.27,11.46,15.93,23.4,21.96,6.96,3.42,0
Dossou-Yovo et al. (1995),Ivory_Coast,Bouake_Tolakouadiokro,-5.04,7.73,331,PU,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1992,1,4.38,0,13.95,10.38,10.29,17.61,10.74,23.28,18.18,15,11.22,12.51
Dossou-Yovo et al. (1995),Ivory_Coast,Bouake_Zone,-5.06,7.7,367,PU,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1991,1,2.58,0,0,10.26,15.12,6.99,17.13,4.86,8.91,18.51,9.93,0
Dossou-Yovo et al. (1995),Ivory_Coast,Bouake_Zone,-5.06,7.7,367,PU,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1992,1,3.06,0,0,0,7.56,7.89,9.81,11.85,5.76,4.62,10.14,0
Briët et al. (2003),Ivory_Coast,Bouenneu,-8.23,6.93,251,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,47.83142391,50.98227672,55.93840059,63.10654151,45.83938159,27.6362679,12.27151672,5.390414744,25.46985219,32.82149826,26.99808361
Briët et al. (2003),Ivory_Coast,Bouenneu,-8.23,6.93,251,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,20.70309709,18.55503804,19.2922219,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Danta,-8.16,7.02,272,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,3.619112121,6.967678769,27.62417996,30.20979022,0.944055944,7.399267393,5.577909265,0.284090911,1.136363645,0.426829272,0,0
Briët et al. (2003),Ivory_Coast,Douandrou,-7.92,6.54,237,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,6.56400965,8.556763276,6.492424237,5.356060604,6.706439394,1.928571429,0,0,0,0,0,0
Briët et al. (2003),Ivory_Coast,Douedy-Guezon,-7.75,6.57,266,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,16.26168225,10.81075553,6.688991362,5.789873386,1.645962737,0,0,0,0,0,0
Briët et al. (2003),Ivory_Coast,Douedy-Guezon,-7.75,6.57,266,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Fapaha,-5.83,9.49,361,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,-9,-9,0.628427449,3.063583815,11.28323166,31.90365852,67.08831828,22.6218012,29.14588093,31.7744641,16.72300017
Briët et al. (2003),Ivory_Coast,Fapaha,-5.83,9.49,361,R,N,AG,EIR from spray (Engorged per person times infection rate),1996,12,-9,-9,-9,-9,-9,-9,-9,0,0,0.700339558,0.864055299,0.098749177
Briët et al. (2003),Ivory_Coast,Finneu,-8.15,7,274,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,3.381290562,5.557537557,16.93707009,25.36777924,27.44394398,37.62940372,39.53215692,28.61414902,3.366370473,0,1.322222226,3.50000001
Briët et al. (2003),Ivory_Coast,Finneu,-8.15,7,274,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,3.8888889,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Folofonkaha,-5.21,8.58,328,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,0,0.432900433,1.645021645,0.676532769,0,0,0,7.094017093,5.168498168,1.898759504,6.426570628
Briët et al. (2003),Ivory_Coast,Folofonkaha,-5.21,8.58,328,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,-9,-9,0,2.167774086,2.794486215,1.981481482,3.330687831,8.027290445,10.50597081,9.287381621,5.834667201
Adja (2006),Ivory_Coast,Ganse,3.9,8.6167,392,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,2000,7,3.9,-9,44.7,-9,10.2,-9,6.3,-9,0,-9,1.5,-9
Adja (2006),Ivory_Coast,Ganse,3.9,8.6167,392,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,2001,7,1.2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Adja (2006),Ivory_Coast,Ganse,3.9,8.6167,392,R,N,AGSL,EIR from HUMAN BAIT and monthly sporozoites,2000,7,4.5,-9,21,-9,16.8,-9,19.2,-9,5.7,-9,51.9,-9
Adja (2006),Ivory_Coast,Ganse,3.9,8.6167,392,R,N,AGSL,EIR from HUMAN BAIT and monthly sporozoites,2001,7,10.8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Adja (2006),Ivory_Coast,Ganse,3.9,8.6167,392,R,N,AN,EIR from HUMAN BAIT and monthly sporozoites,2000,7,5.4,-9,8.4,-9,1.2,-9,2.1,-9,0.9,-9,0,-9
Adja (2006),Ivory_Coast,Ganse,3.9,8.6167,392,R,N,AN,EIR from HUMAN BAIT and monthly sporozoites,2001,7,2.4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Gbahouakaha,-5.41,9.5,345,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,-9,-9,0,0,0,0,0,0,0,0,0
Briët et al. (2003),Ivory_Coast,Gbahouakaha,-5.41,9.5,345,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,-9,-9,1.368840219,0.086342724,4.892690922,4.184280123,0.375405844,0.060876623,2.745289768,11.86943639,22.06896552
Briët et al. (2003),Ivory_Coast,Gbahouakaha,-5.41,9.5,345,R,I,AG,EIR from spray (Engorged per person times infection rate),1996,12,-9,-9,-9,-9,0,2.216066482,2.151114554,0.375405844,0.060876623,0,0,0
Briët et al. (2003),Ivory_Coast,Gbontegleu,-8.24,6.97,257,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,66.15120276,66.15120276,53.7281708,56.7459094,86.75984894,68.27503098,37.95821462,9.015151518,1.060606061,2.926829265,2.93333333,0.444444444
Briët et al. (2003),Ivory_Coast,Gbontegleu,-8.24,6.97,257,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,0,0.851344835,2.37397161,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Glopaoudy,-7.63,6.54,234,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,79.20595533,42.16528213,15.47035574,12.75428194,6.36630036,3.609467451,2.575757573,0.303030303,0,0,0
Briët et al. (2003),Ivory_Coast,Kabolo,-4.99,8.19,268,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,3.235294118,2.464985995,0.308123249,0,1.330409357,4.308694287,7.298336472,3.789346247,0.909383064,1.560590297,5.057972985
Briët et al. (2003),Ivory_Coast,Kabolo,-4.99,8.19,268,R,N,AF,EIR from spray (Engorged per person times infection rate),1996,12,-9,-9,-9,-9,-9,0,0,0,0,0.042036125,0.08099846,0.050123692
Briët et al. (2003),Ivory_Coast,Kabolo,-4.99,8.19,268,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,0,0,0,3.781712474,4.141809639,1.995552402,4.964409528,1.8,3.25884017,5.867968059,4.835842425
Briët et al. (2003),Ivory_Coast,Kabolo,-4.99,8.19,268,R,N,AG,EIR from spray (Engorged per person times infection rate),1996,12,-9,-9,-9,0,0,0.337981888,1.095552402,0.207266671,0,0,0.197112991,0.75261324
Doannio 2002,Ivory_Coast,Kafine,-5.67,9.27,322,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1995,1,-9,18.00615385,-9,40.33378462,25.92886154,29.53009231,39.61353846,27.00923077,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Kaforo,-5.67,9.29,329,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,-9,-9,0,0,0,0.580357143,1.826923077,0.336538462,0,0,0
Briët et al. (2003),Ivory_Coast,Kaforo,-5.67,9.29,329,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,0,0,1.833180568,8.93675527,5.318635727,5.079098753,16.23040733,10.68175944,13.50712819,12.20592495,7.2
Briët et al. (2003),Ivory_Coast,Kaforo,-5.67,9.29,329,R,N,AG,EIR from spray (Engorged per person times infection rate),1996,12,-9,-9,-9,0,0,0.373178478,0.59430145,0,0,0,0.493617021,1.343735224
Briët et al. (2003),Ivory_Coast,Kombolokoura,-5.88,9.33,366,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,0,0,0,0,0,0,0,0,0,0,0
Briët et al. (2003),Ivory_Coast,Kombolokoura,-5.88,9.33,366,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,-9,-9,0,0,15.87569779,20.23104001,25.97098338,8.289013839,0.660496285,1.166351252,3.074949278
Briët et al. (2003),Ivory_Coast,Kombolokoura,-5.88,9.33,366,R,N,AG,EIR from spray (Engorged per person times infection rate),1996,12,-9,-9,-9,-9,0,1.68903437,6.877186794,14.26974268,3.982253771,0,0.273899033,0.773361976
Briët et al. (2003),Ivory_Coast,Meantouo,-8.14,6.89,277,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,22.86324786,21.71190796,23.02815484,28.4875864,33.47225878,28.58584138,15.94988345,1.876456876,0,4.151162789,10.98837209
Briët et al. (2003),Ivory_Coast,Meantouo,-8.14,6.89,277,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,3.999669809,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Nanbekaha,-5.69,9.29,320,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,1.875,1.134868421,0,0,0,1.148547469,3.622342019,0.883498053,0,0,0
Briët et al. (2003),Ivory_Coast,Nanbekaha,-5.69,9.29,320,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,-9,-9,0.614676286,4.425669261,5.340910755,10.42570808,22.25283266,17.71061284,6.498152256,4.624220947,13.58364903
Briët et al. (2003),Ivory_Coast,Nanbekaha,-5.69,9.29,320,R,I,AG,EIR from spray (Engorged per person times infection rate),1996,12,-9,-9,-9,-9,0,0,0,0,0,0,0,0
Briët et al. (2003),Ivory_Coast,Nombolo,-5.83,9.41,379,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,-9,-9,0,0,0,0,0,0,0,0,0
Briët et al. (2003),Ivory_Coast,Nombolo,-5.83,9.41,379,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,-9,-9,0,0,5.666764793,7.73160384,5.606837607,1.367521368,8.149207749,8.300461383,1.79933665
Briët et al. (2003),Ivory_Coast,Nombolo,-5.83,9.41,379,R,I,AG,EIR from spray (Engorged per person times infection rate),1996,12,-9,-9,-9,-9,-9,0,0.184959349,0.557407407,0.155555555,0,0,0
Briët et al. (2003),Ivory_Coast,Nongotchenekaha,-5.4,9.52,332,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,0,1.322751323,1.62601626,0,0,0,0,0,0,0,0
Briët et al. (2003),Ivory_Coast,Nongotchenekaha,-5.4,9.52,332,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,-9,-9,0,1.814899278,56.26187762,75.04171911,62.12987988,21.02595452,21.98613199,20.0250588,15.34050179
Briët et al. (2003),Ivory_Coast,Nongotchenekaha,-5.4,9.52,332,R,I,AG,EIR from spray (Engorged per person times infection rate),1996,12,-9,-9,-9,-9,-9,0.568801522,0.492183255,0.184815185,0.02997003,0,0,0
Briët et al. (2003),Ivory_Coast,Ounandiekaha,-5.17,8.36,286,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,6.1111,4.656084656,0.582010582,0,0,0.569105691,3.008130081,1.138211382,1.038961039,2.147495362,2.451041022
Briët et al. (2003),Ivory_Coast,Ounandiekaha,-5.17,8.36,286,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,5.555555556,4.232804233,0.529100529,8.850498342,12.74664924,9.528985508,5.64699793,1.666666667,6.588235296,9.955982396,3.149157099
Briët et al. (2003),Ivory_Coast,Ounandiekaha,-5.17,8.36,286,R,I,AG,EIR from spray (Engorged per person times infection rate),1996,12,-9,-9,-9,-9,-9,0.568801522,0.492183255,0.184815185,0.02997003,0,0,0
Briët et al. (2003),Ivory_Coast,Pepleu,-8.2,6.95,256,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,-9,-9,-9,-9,-9,-9,28.89136364,21.87545455,14.22292683,7.0884,1.074
Briët et al. (2003),Ivory_Coast,Pepleu,-8.2,6.95,256,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1999,4,0,0.436202209,1.216348087,-9,-9,-9,-9,-9,-9,-9,-9,-9
